iter	Logloss
2364	0.2318310773
2365	0.2318249103
2366	0.2318182951
2367	0.2318103007
2368	0.2318052675
2369	0.2317982309
2370	0.2317948035
2371	0.2317927812
2372	0.2317867598
2373	0.2317784335
2374	0.2317715832
2375	0.2317634302
2376	0.2317628103
2377	0.2317610996
2378	0.2317554966
2379	0.231752458
2380	0.2317487811
2381	0.2317487525
2382	0.2317407905
2383	0.2317334949
2384	0.231728082
2385	0.2317255134
2386	0.2317230479
2387	0.2317224256
2388	0.2317223923
2389	0.231716014
2390	0.2317122321
2391	0.231708824
2392	0.2317041703
2393	0.2317020922
2394	0.2317008887
2395	0.2316979012
2396	0.2316926235
2397	0.2316829993
2398	0.2316747272
2399	0.2316692329
2400	0.2316675173
2401	0.2316609787
2402	0.2316518984
2403	0.2316447117
2404	0.2316408002
2405	0.2316350004
2406	0.231630982
2407	0.2316233209
2408	0.2316217162
2409	0.231618284
2410	0.231612803
2411	0.2316077251
2412	0.2316019223
2413	0.2315939014
2414	0.2315921046
2415	0.2315853693
2416	0.2315795669
2417	0.2315746491
2418	0.2315662716
2419	0.2315616743
2420	0.2315582567
2421	0.2315558952
2422	0.2315511135
2423	0.231548157
2424	0.2315470175
2425	0.2315445311
2426	0.2315366442
2427	0.2315299663
2428	0.231527597
2429	0.2315210614
2430	0.2315188734
2431	0.2315111816
2432	0.2315040464
2433	0.2315012678
2434	0.2314968602
2435	0.2314923606
2436	0.2314914382
2437	0.2314859333
2438	0.2314837582
2439	0.2314749104
2440	0.2314692215
2441	0.2314661491
2442	0.2314621322
2443	0.2314587924
2444	0.2314525114
2445	0.2314460691
2446	0.2314408641
2447	0.2314372171
2448	0.2314341057
2449	0.2314264234
2450	0.2314220182
2451	0.2314213331
2452	0.2314171494
2453	0.2314163848
2454	0.2314102391
2455	0.2314059502
2456	0.2313999179
2457	0.2313962036
2458	0.2313950403
2459	0.2313899424
2460	0.2313816678
2461	0.2313801842
2462	0.2313709525
2463	0.23136752
2464	0.2313649259
2465	0.2313595775
2466	0.2313562091
2467	0.2313519383
2468	0.2313442662
2469	0.2313367796
2470	0.2313291836
2471	0.2313257402
2472	0.2313241928
2473	0.2313182672
2474	0.231315267
2475	0.2313092469
2476	0.2313027697
2477	0.2312980541
2478	0.2312944374
2479	0.2312934172
2480	0.2312934006
2481	0.2312903039
2482	0.2312833786
2483	0.2312832114
2484	0.2312812697
2485	0.2312784969
2486	0.2312709549
2487	0.2312609053
2488	0.2312575402
2489	0.2312515518
2490	0.2312479019
2491	0.2312437255
